;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Barash L.Y., Shchur L.N.,""12765472700";56004933800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883137299&doi=10.1016%2fj.cpc.2013.04.007&partnerID=40&md5=576c89a663869181bc10dd4e41dcc5f8"",""Carlo"; Extensions; Monte; Pseudorandom numbers; Random number generation; Random numbers; SIMD; Statistical methods;" Streaming"",""Carlo"; Extensions; Monte; Pseudo-random numbers; Random Numbers; SIMD; Acoustic streaming; FORTRAN (programming language); Statistical methods;" Random number generation""";;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Avetisov V.A., Ivanov V.A., Meshkov D.A., Nechaev S.K.,""35560504700";55459728200;55994077300;7006930329;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891898451&doi=10.1134%2fS0021364013170025&partnerID=40&md5=2205cc263ba95b4b19acb98deff1af40"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Kovalyuk V., Hartmann W., Kahl O., Kaurova N., Korneev A., Goltsman G., Pernice W.H.P.,""35778256000";57203218298;56898793400;6507396101;7006297830;7006771637;16040560600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884572498&doi=10.1364%2fOE.21.022683&partnerID=40&md5=d3e3ad10627117488cf38624f57d464c"",,""Absorption co-efficient"; Absorption property; Direct contact; Nanophotonic circuits; Niobium nitride; Optical circuits; Single-photon detectors; Telecom wavelengths; Finite element method; Nanophotonics; Particle beams; Silicon nitride; Waveguides;" Nanowires""";;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Khoroshkin A., Markarian N., Shadrin S.,""16042672000";10142274300;6701858409;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880512276&doi=10.1007%2fs00220-013-1737-7&partnerID=40&md5=0f0f585e764d99966bcd484bcabcfafb"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Ruderman M.S., Pelinovsky E., Petrukhin N.S., Talipova T.,""7006487390";7004951110;6603394745;7004244713;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877752148&doi=10.1007%2fs11207-013-0263-2&partnerID=40&md5=2b29c2fc980407ee9f4c3179ea46a182"",""Corona"; Coronal magnetic loops; Wave reflection;" Waves"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Eminov P., Sezonov Y.,""6603021264";15080872600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884995799&doi=10.1556%2fNano.2013.00004&partnerID=40&md5=c15d8913ff47e172c66abaee69ce69db"",""energy gap"; magnetic field; magnetization; nanotube; superconductivity;" thermodynamic potential"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Amerik E., Campana F.,""56619370700";35607833300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877314358&doi=10.1016%2fj.geomphys.2013.04.004&partnerID=40&md5=8cc9421168f8cbb69dd073735b57cd60"",""Fibration"; Holomorphic symplectic variety;" Lagrangian torus"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Kartashova E., Pelinovsky E., Talipova T.,""17434558300";7004951110;7004244713;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881437080&doi=10.5194%2fnpg-20-571-2013&partnerID=40&md5=4068a8aed9728b538a5ad8e842291154"",,""amplitude"; deformation; Fourier transform; internal wave; nonlinearity; spectrum;" wave dispersion""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Aksenov S.A., Chumachenko E.N., Logashina I.V.,""15080694300";7004559856;6506347069;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880831247&doi=10.4028%2fwww.scientific.net%2fMSF.762.392&partnerID=40&md5=3494bfdcbc312dd272d7c33286d1658e"",""Constitutive model"; Processing map; Superplasticity; Tensile tests;" Ti-6Al-4V"",""Deformation conditions"; Dynamic materials model; Flow charac-teristics; Material processing maps; Processing maps; Strain rate dependence; Stress and strain rate; Ti-6al-4v; Aluminum; Computer simulation; Constitutive models; Deformation; Hot working; Numerical models; Strain rate; Superplasticity; Titanium alloys;" Tensile testing""";;;;;;;;;;;;;;;;;;;;;;
11;"Cherkashina T.I., Mazur I.P., Aksenov S.A.,""54891940900";15045101200;15080694300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880784141&doi=10.4028%2fwww.scientific.net%2fMSF.762.261&partnerID=40&md5=36760251b30a7e8a3bb1d50e4afd4867"",""Diameter"; Distribution; Liquid core; Mathematical model; Slab; Soft reduction; Sphere;" Strain"",""Diameter"; Distribution; Liquid cores; Slab; Soft reduction; Computer simulation; Liquid metals; Mathematical models; Metal forming; Numerical models; Spheres; Strain;" Deformation""";;;;;;;;;;;;;;;;;;;;;;;;
11;"Blinov V.N.,""37017083600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885219802&doi=10.1134%2fS1063776113080128&partnerID=40&md5=3c90a7b99e68b86c21f5fe3dec2cbe75"",,""Columnar phase"; Cylinder axis; Monte Carlo numerical simulations; Physics;" Cylinders (shapes)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Molokanov V., Romanov D., Tsibulsky V.,""55793510500";56850552300;55793459200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880165808&doi=10.1117%2f12.2010936&partnerID=40&md5=6a295ea9daf4b717c7041a33cf2588df"",""Enterprise information management"; Expert search;" TREC"",""Efficiency improvement"; Enterprise information management; Expert searches; Information spaces; Query classification; Text retrieval conferences; TREC; Weighting coefficient; Algorithms; Image processing; Industry; Information management; Safety devices;" Search engines""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Akhmedov E.T., Popov F.K., Slepukhin V.M.,""10038930900";55817351600;55817221600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881277337&doi=10.1103%2fPhysRevD.88.024021&partnerID=40&md5=7061b01c8393655969ee944612193705"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Dunham D.W., Reitsema H.J., Lu E., Arentz R., Linfield R., Chapman C., Farquhar R., Ledkov A.A., Eismont N.A., Chumachenko E.,""7005970860";6602082767;55851611900;6603129314;7003671406;7403167281;55403675600;55361555900;6603166598;7004559856;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883790408&doi=10.1134%2fS0038094613040096&partnerID=40&md5=aaf8c6fe9b29e4740bc670d0a281cc95"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Karasev M.V., Novikova E.M.,""7004372754";7102446642;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883632139&doi=10.1134%2fS1061920813030047&partnerID=40&md5=6273d6a8ee68160207e70d42a0153db1"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Eminov P.A., Gordeeva S.V.,""6603021264";36113109800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884176648&doi=10.3103%2fS0027134913040061&partnerID=40&md5=506184880e248d97b667197aa917a7eb"",""ionization"; Keldysh parameter; linearly polarized wave;" quantum dot"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Vil'ke V.G., Chumachenko E.N., Dunham D.W., Nazarov R.R.,""7003824916";7004559856;7005970860;55802209500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880633385&doi=10.1134%2fS0010952513030076&partnerID=40&md5=40ec7a4eb9136669e90ef31ac2bea112"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Molotkov S.N., Potapova T.A.,""7005147387";7005641777;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879103449&doi=10.1088%2f1612-2011%2f10%2f7%2f075205&partnerID=40&md5=61e11aeef4902f2e3e0a2987d81f87bb"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Eismont N.A., Boyarskii M.N., Ledkov A.A., Nazirov R.R., Dunham D.W., Shustov B.M.,""6603166598";6506038187;55361555900;6603615788;7005970860;6603066355;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883798308&doi=10.1134%2fS0038094613040102&partnerID=40&md5=c9253f0d9605ac78b039f0483b11dff9"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Bufetov A., Mkrtchyan S., Shcherbina M., Soshnikov A.,""7801312296";39262370300;35607432100;6603845420;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876877486&doi=10.1007%2fs10955-013-0761-5&partnerID=40&md5=9c37580b4881f64662c38b4d09e278bc"",""Beta ensembles"; Entropy;" Random matrices"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Silaev M.A., Silaeva V.A.,""36872958400";55745114000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878075584&doi=10.1088%2f0953-8984%2f25%2f22%2f225702&partnerID=40&md5=8390685f7d4e41541640c444addcb20e"",,""Impurity scattering"; Local density of state; Low temperatures; Mesoscopic superconductors; Order parameter; Type II superconductors; Vortex formation; Vortices in superconductors; Electronic structure; Superconductivity; Vortex flow;" Superconducting materials""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Ternov A.I., Eminov P.A.,""8876360600";6603021264;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879074810&doi=10.1103%2fPhysRevD.87.113001&partnerID=40&md5=27559e5701052d82759517d3f8a36ce3"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Bushmeleva K.I., Plyusnin I.I., Bushmelev P.E., Uvaisov S.U.,""57199347935";26534951800;48761128700;14049539200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880507202&doi=10.1007%2fs11018-013-0184-3&partnerID=40&md5=73043342637fa272dd5e0818c06c772d"",""gas-transport network"; methane leak detector; monitoring system;" wireless sensor network"",""Distributed wireless"; Gas leaks; Gas transport; Methane leaks; Monitoring system; Real time; Reliable operation; Technical state; Methane; Wireless sensor networks;" Monitoring""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Eminov P.A., Gordeeva S.V., Sokolov V.V.,""6603021264";36113109800;56951446700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880221078&doi=10.1134%2fS1028335813060104&partnerID=40&md5=13379c17127601ff4d4df41ed27b042b"",,""Analytical formulas"; Characteristic size; Critical temperatures; Thermodynamic properties;" Cylinders (shapes)""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Zabrodin A.,""7004036132";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876532971&doi=10.1088%2f1751-8113%2f46%2f18%2f185203&partnerID=40&md5=35e89006f209ef69e323b6b8af089c02"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Marshakov A.,""57190030240";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873560581&doi=10.1016%2fj.geomphys.2012.12.003&partnerID=40&md5=00defbcfcd7f270a0b8686ba9f208bad"",""Cluster varieties"; Integrable systems;" Poisson-Lie groups"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Alexandrov A., Zabrodin A.,""7203009285";7004036132;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874005732&doi=10.1016%2fj.geomphys.2013.01.007&partnerID=40&md5=3abcf1dcd96e51cbf9f4f96ad91e145a"",""Free fermions"; Hirota bilinear equations; Integrable systems; Matrix models;" Tau-functions"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Molotkov S.N., Potapova T.A.,""7005147387";7005641777;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878144790&doi=10.1134%2fS002136401306012X&partnerID=40&md5=791719fe2c308c6243d1c5b61a2ca2cb"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Popova E.A., Klimin S.A., Popova M.N., Klingeler R., Tristan N., Büchner B., Vasiliev A.N.,""56760485300";7003429919;7103171798;57189580384;56007647200;23020860700;7402046602;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872696192&doi=10.1016%2fj.jmmm.2012.11.019&partnerID=40&md5=305d2355dac7de416964e143d0d079cb"",""Chain breaks"; Haldane chain;" Nickelate"",""Antiferromagnets"; Haldane chains; Kramers doublet; Magnetic contribution; Nickelates; Quasi-one-dimensional; Spectroscopic measurements; Spin-glass state; Temperature dependence; Magnetic susceptibility; Magnetization; Specific heat;" Neodymium""";;;;;;;;;;;;;;;;;;;;;;;;;
11;"Tyutnev A., Saenko V., Pozhidaev E.,""7005402871";7103137190;7006116169;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875733443&doi=10.1016%2fj.chemphys.2013.01.007&partnerID=40&md5=bc5dd0b1b3e37f4fdc3d3bd46d8ace21"",""Electron-gun technique"; Langevin-type recombination; Multiple trapping model;" Uniform carrier generation"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Aseeva N.V., Gromov E.M., Tyutin V.V.,""15847630900";56707638200;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875840642&doi=10.1063%2f1.4794433&partnerID=40&md5=2e3071f5b28d5288e488f31ab40fc7b7"",,""article"; computer simulation; mathematical computing; motion; nonlinear system; radiation scattering; radiofrequency radiation; Raman spectrometry; time; Computer Simulation; Motion; Nonlinear Dynamics; Numerical Analysis, Computer-Assisted; Radio Waves; Scattering, Radiation; Spectrum Analysis, Raman;" Time Factors""";;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Lapinova S., Saichev A., Tarakanova M.,""6507041863";7005597950;55523942700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872322613&doi=10.1016%2fj.physa.2012.11.047&partnerID=40&md5=fb8b4340c54cc3fafa2e953af7410a15"",""Efficiency"; Probabilistic properties; Unbiasedness;" Volatility estimators"",""Interval estimation"; Probabilistic properties; Unbiasedness; Volatility estimators; Efficiency;" Estimation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Novikov S.V., Tyutnev A.P.,""57202492592";7005402871;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875149797&doi=10.1063%2f1.4794791&partnerID=40&md5=b080d69987747729b0010931ad2f5219"",,""Adjustable parameters"; Experimental datum; Experimental values; Monte Carlo simulations; Organic photoconductors; Simulated transients; Transport parameters; Transport simulation; Carrier mobility; Electric fields; Glass; Monte Carlo methods; Polycarbonates; Transients; Transport properties;" Power quality""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Tlyachev T.V., Chebotarev A.M., Chirkin A.S.,""37116179400";7102774704;7007102889;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875846770&doi=10.1088%2f0031-8949%2f2013%2fT153%2f014060&partnerID=40&md5=9b442c75be6d29e3fc7d8adbede4ebcf"",,""Arbitrary number"; Canonical transformation; Heisenberg pictures; Light fields; New approaches; Optical parametric process; Parametric process; Quantum evolution; Quantum theory; Quantum computers; Quantum optics; Quantum computers;" Quantum theory""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Akhmedov E.T.,""10038930900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874551208&doi=10.1103%2fPhysRevD.87.044049&partnerID=40&md5=0477f4f2facdfbf3e73e75b96a547323"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Ezersky A., Abcha N., Pelinovsky E.,""6602077588";23488016400;7004951110;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873052549&doi=10.5194%2fnpg-20-35-2013&partnerID=40&md5=6521e0092dfbb5b5c78d97b184218efd"",,""beach"; coastal zone; nonlinear wave; numerical model; shoreline;" wave runup""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Peltonen J.T., Astafiev O.V., Korneeva Yu.P., Voronov B.M., Korneev A.A., Charaev I.M., Semenov A.V., Golt'Sman G.N., Ioffe L.B., Klapwijk T.M., Tsai J.S.,""15766156500";6701441525;36617215400;57200973381;7006297830;56002551500;56879243200;7006771637;7004567667;7006694350;7403610308;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892419352&doi=10.1103%2fPhysRevB.88.220506&partnerID=40&md5=11e1a9859074c7005a3a867487b266f4"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Nechaev S.K., Sobolevski A.N., Valba O.V.,""7006930329";7004013625;37100734000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872543904&doi=10.1103%2fPhysRevE.87.012102&partnerID=40&md5=4dd5e7839a7bfb37e4eb2d169f131658"",,""Complementary nucleotides"; Concave function; Folded structures; Gaussians; Heteropolymer chain; Nonlocal; Optimal transport; Optimization procedures; Partition functions; Planar diagrams; Pseudo-knots; RNA molecules; Scale-free; Secondary structures; Special class; Stacking interaction; Toy models; Difference equations; Monomers; Nucleotides; RNA; Optimization; RNA; article; chemical model; chemical structure; chemistry; computer simulation; conformation; statistical model; ultrastructure; Computer Simulation; Models, Chemical; Models, Molecular; Models, Statistical; Nucleic Acid Conformation;" RNA""";;;;;;;
11;"Abrashkin A., Soloviev A.,""6701859116";57154365600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872026191&doi=10.1103%2fPhysRevLett.110.014501&partnerID=40&md5=9339bf8865cb5c042422dcd29296ad34"",,""Exact solution"; External pressures; Fluid particles; Freak wave; Free surfaces; Hydrodynamic equations; Inviscid fluids; Lagrangian; Physical parameters; Wind action; Atomic physics;" Physics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Pelinovsky E.N., Shurgalina E.G., Sergeeva A.V., Talipova T.G., El G.A., Grimshaw R.H.J.,""7004951110";36915865200;26424742400;7004244713;8363478400;35462748600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870991874&doi=10.1016%2fj.physleta.2012.11.037&partnerID=40&md5=95555ba637110d3ad16b690c181c4047"",""KdV equation"; Soliton;" Turbulence"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Pirkovskii A.Yu.,""6507150595";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891090170&doi=10.1088%2f1742-6596%2f474%2f1%2f012026&partnerID=40&md5=3d2c3d3eddd944d8aae1f9f6adb179ca"",,""Functions"; Topology; Affine space; Continuous functions; Holomorphic functions; Non-commutative; Poincare; Power series; Q-analogs; Seminorms;" Algebra""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Makarov V.V.,""7401689743";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872500409&doi=10.1007%2fs11018-012-0096-7&partnerID=40&md5=29ee0778e5a8e002d5ccfb49c0554254"",""adaptation"; self calibration; self diagnostics; smart converter;" survivability"",""adaptation"; Self calibration; Self-diagnostics; smart converter; survivability; Calibration;" Code converters""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Savchenko A.V.,""42962245900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922686488&doi=10.18287%2f0134-2452-2013-37-2-254-262&partnerID=40&md5=ae4476e7eac043e030716923596393e1"",""Automatic image recognition"; Face recognition; Probabilistic neural network;" Test for samples nearest neighbour rule"",""Image recognition"; Neural networks; Statistical tests; Neural networks; Statistical tests; Experimental research; Jensen-Shannon divergence; Nearest neighbor rule; Nearest neighbour rules; Probabilistic neural networks; Recognition accuracy; Recognition criterion; Statistical classification; Face recognition;" Face recognition""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Aksenov S.A., Chumachenko E.N., Nazirov R.R., Butenko A.E., Bober S.A.,""15080694300";7004559856;6603615788;56288070400;35097145600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904638033&partnerID=40&md5=39583bb6caaa14c8ae7e389c604aeac6"",,""Computer simulation"; Cracks; Moon; Satellites; Tectonics; Thawing; Bending stress; Chaotic sets; Ice cover; Ice structures; Ice surfaces; Liquid water; Stress-strained state; Tectonic process;" Ice""";;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Lifintseva T.P.,""55534494200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890411139&partnerID=40&md5=a06630e67467d2cba01b75a85666ce13"",""Being"; Care; Deconstruction of subject; Duhkha; Emptiness; Negativity; Nihilism; Nothingness; Phenomenalism;" Śūnyata"",""article"; consciousness; existentialism; human; metaphysics; ontology; psychophysiology;" religion""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Shumilin A., Shumilin V., Chumachenko E.,""57190396022";56625155600;7004559856;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904617450&partnerID=40&md5=556a121681e068d462a344e26e7f7d09"",,""Electrodes"; Flow rate; Ions; Magnetic fields; Accelerated ions; Accelerating voltages; Integral characteristics; Kinetic effect; Magnetic field strengths; Neutral particles; Numerical estimation; Stationary plasma thruster;" Hall thrusters""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Shumilin N., Shumilin V., Chumachenko E.,""55225686000";56625155600;7004559856;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904640162&partnerID=40&md5=ced44e7c7b9bea7c1288111afdbe4ffe"",,""Beam plasma interactions"; Drift chambers; Hall thrusters; Kinetics; Magnetoplasma; Modulation; Tubes (components); Accelerating voltages; Analysis of stability; Current modulation; Electrostatic instabilities; Initial perturbation; Laboratory conditions; Operating condition; Random fluctuation;" Ion beams""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Fedorenko A.N., Chumachenko E.N., Dunham D.W., Eismont N.A.,""7007107258";7004559856;7005970860;6603166598;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904687532&partnerID=40&md5=fe3fd2ce4b964a3e18de45f1db6487b4"",,""Angular velocity"; Attitude control; C++ (programming language); Computer software; Interplanetary flight; Parameter estimation; Pixels; Pressure; Reflection; Rotation; Solar equipment; Solar radiation; Solar sails; Spheres; Sun; Analytical results; Gravity gradient torque; Moments of inertia; Optical coefficients; Radiation pressure; Rotational torque; Solar radiation pressure; Spacecraft attitude maneuvers;" Spacecraft""";;;;;;;;;;;;;;;;;;;
11;"Tyurin N.A.,""7003996053";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874120131&doi=10.1088%2f1742-6596%2f411%2f1%2f012028&partnerID=40&md5=d4002c5c4fc2d153d2544e50aacddca1"",,""Symplectic";" Physics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Eminov P.A.,""6603021264";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886897478&doi=10.1016%2fj.physb.2013.05.037&partnerID=40&md5=7857dad312ae2f115a81f0123b25a660"",""Ionization"; Low dimensional systems;" Saddle point"",""Electric fields"; Electromagnetic fields; Electromagnetic wave polarization; Electromagnetic waves; Electron tunneling; Electrostatics; Probability; Probability distributions; Quantum theory; Semiconductor quantum dots; Alternating electric field; Analytical equations; Ionization probabilities; Low-dimensional systems; Quantum mechanical method; Saddle point; Total probabilities; Tunneling probabilities;" Ionization""";;;;;;;;;;;;;;;;;;;;;;;;;
11;"Aladyshkin A.Yu., Nefedov I.M., Aladyshkina A.S., Shereshevskii I.A.,""6603188598";7005839351;54904762400;6701664525;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885478261&doi=10.1016%2fj.physc.2012.11.013&partnerID=40&md5=8837abd31364532ec493890ab227e17d"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Kuleshov A.P., Bernstein A.V.,""25621485600";55926029700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901328185&doi=10.1117%2f12.2050125&partnerID=40&md5=cc0287e1478f0dfdc4411e4dae37d8d0"",""Data manifold"; Image manifold; Manifold Learning; Tangent Bundle Manifold Learning;" Tangent spaces"",""Engineering"; Molecular physics; Data manifolds; Image applications; Image manifolds; Manifold learning; Tangent space;" Computer vision""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;"Bufetov A.I., Solomyak B.,""7801312296";6701349351;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876159983&doi=10.1007%2fs00220-012-1624-7&partnerID=40&md5=9d962e6743e1f144092b2ed6f13d5861"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Bolotova A.K., Hachaturova M.R.,""56005251600";36968099600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897691423&doi=10.11621%2fpir.2013.0311&partnerID=40&md5=2a44d5d9a30ada121293f0ce2c80adb9"",""Coping strategies"; Interpersonal conflict; Time;" Time perspective"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Bolotova A.K.,""56005251600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892518918&partnerID=40&md5=86e2d5b057550e146ba64f4a65f0290d"",""Communicative competence"; Interpersonal relations; Nonverbal communication;" Time"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Shadrikov V.D.,""55571101400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892524761&partnerID=40&md5=47849f81dfbdb6f828364a4994db60f0"",""Ability"; Intellectual operations; Mental development; Subject of activity; System genetics approach.;" Training activities"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Emelyanova M.A., Skvortsov A.A., Vlasova Zaykova A.V., Koryagin K.V.,""57192310944";21735514900;56001202100;56001647300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892386022&partnerID=40&md5=37c4772004c3a29e4e92a153126674f8"",""Apraxia assessment"; Bernstein; Level theory of motor acts; Luria;" Neurocognitive models of praxis"",""apraxia"; brain function; brain region; clinical research; cognition; comparative study; feedback system; human; manual kinesthetic apraxia; mental function; motor performance; neuropsychology; research; review; Russian Federation; theory;" voluntary movement""";;;;;;;;;;;;;;;;;;;;;;
12;"Kozintseva E.G., Dragoy O.V., Malyutina S.A., Ivanova M.V., Sevan D.A., Kuptsova S.V., Petrushevsky A.G., Fedina O.N., Gutyrchik E.F.,""55266444100";36522630700;55935739000;13406041800;55935476400;55344594700;55935654100;55935963000;35253306800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888092206&partnerID=40&md5=fd70358fbae812107e0336c37967d506"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Bos L.S., Dragoy O., Iskra E., Avrutin S., Bastiaanse R.,""54583101600";36522630700;55935608100;6602652840;7003821546;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888113041&partnerID=40&md5=3dab04a46bc33bc93c608f2f4612afa8"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;"Aguiar V.D., Bastiaanse R., Reis A., Dragoy O.,""56481545300";7003821546;55936144100;36522630700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888107489&partnerID=40&md5=cf4332a831dc2281fc99fef793746532"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
